Simulation_AT3_TP3_TPR2_DOC1
Year	Month	Day	GlobalRadiation	CloudCover	AirTemperature	RelativeHumidity	AirPressure	WindSpeed	Precipitation	InflowQ	InflowT	InflowC	InflowSS	InflowTP	InflowDOP	InflowChla	InflowDOC	InflowDIC	InflowO	InflowNO3	InflowNH4	InflowSO4	InflowFe2	InflowCa2	InflowpH	InflowCH4	InflowFe3	InflowAl3	InflowSiO4	InflowSiO2	Inflowdiatom
2010	2	27	NaN	0.962	-0.0300000000000011	91	934	0.5	0.7	314.7	-0.3175	0	556.67	3.92972602739726	0.01	0.01	11133	187300	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	28	NaN	1	0.629999999999999	84	932	0.2	3.2	313.54	1.37	0	555.91	3.92849315068493	0.01	0.01	11118	188580	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	1	NaN	0.338	0.440000000000001	77	934	0.5	0	312.41	-0.175	0	555.16	3.9272602739726	0.01	0.01	11103	189850	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	2	NaN	0.462	-1.9	70	945	1	0	311.32	1.79	0	554.37	3.92602739726027	0.01	0.01	11087	191130	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	3	NaN	0.125	-1.43	86	952	0.7	0	310.25	2.21	0	553.6	3.92479452054795	0.01	0.01	11072	192410	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	4	NaN	0.712	-0.5	86	957	1	0	309.22	2.705	0	552.84	3.92356164383562	0.01	0.01	11057	193690	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	5	NaN	0.625	-0.780000000000001	87	956	0.3	0	308.21	1.9325	0	552.07	3.92232876712329	0.01	0.01	11041	194960	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	6	NaN	0.125	-7.24	87	963	0.4	1.1	307.22	2.3525	0	551.32	3.92109589041096	0.01	0.01	11026	196230	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	7	NaN	0.462	-5.56	92	964	0.4	0.2	306.26	3.1925	0	550.54	3.91986301369863	0.01	0.01	11011	197500	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	8	NaN	0.412	-3.4	90	961	1.6	0	305.32	2.6375	0	549.83	3.9186301369863	0.01	0.01	10997	198760	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	9	NaN	0.288	2.97	92	963	0.8	0.5	304.4	-0.595	0	549.04	3.91739726027397	0.01	0.01	10981	200030	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	10	NaN	0.538	1.66	81	959	1.4	0	303.49	-2.425	0	548.32	3.91616438356164	0.01	0.01	10966	201290	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	11	NaN	0.838	6.34	87	948	1.6	0	303.46	-1.09	0	584.59	3.91493150684932	0.01	0.01	11692	202540	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	12	NaN	0.712	6.53	89	946	1.6	0.6	323.53	-1.585	0	585.66	3.91369863013699	0.01	0.01	11713	203650	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	13	NaN	0.212	2.5	85	944	2.3	1.2	330.13	-0.5275	0	586.16	3.91246575342466	0.01	0.01	11723	204830	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	14	NaN	0.5	2.41	86	944	1.5	0.2	330.47	-1.375	0	586.57	3.91123287671233	0.01	0.01	11731	206050	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	15	NaN	0.125	2.78	84	947	1.7	0.1	328.09	2.495	0	586.97	3.91	0.01	0.01	11739	207280	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	16	NaN	0.712	2.13	87	949	0.7	0.1	324.73	2.21	0	587.34	3.90876712328767	0.01	0.01	11747	208500	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	17	NaN	0.875	1.94	94	947	1.2	0.2	321.18	3.125	0	587.69	3.90753424657534	0.01	0.01	11754	209750	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	18	NaN	0.662	3.06	91	943	1.3	0	317.78	3.545	0	588.06	3.90630136986301	0.01	0.01	11761	210970	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	19	NaN	0.788	6.25	91	934	1.8	2.7	402.01	4.955	0	587.78	3.90506849315068	0.01	0.01	11756	211620	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	20	NaN	0.712	7.28	91	932	1.7	0.9	4007.3	3.83	0	575.74	3.90383561643836	0.01	0.01	11515	203680	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	21	NaN	0.662	8.03	94	941	1.1	1.4	3562.3	5.09	0	584.13	3.90260273972603	0.01	0.01	11683	201620	8000	0	0	0	0	0	0	0	0	0	0	0	0
